time_step,p_value,p_corr,signif
time_149,5.9974939351728974e-15,4.030315924436187e-12,True
time_150,1.0801880755635745e-13,7.25886386778722e-11,True
time_151,2.351523098429417e-12,1.5802235221445682e-09,True
time_152,1.7546490678987594e-10,1.1791241736279663e-07,True
time_153,2.9348268374989187e-08,1.9722036347992733e-05,True
time_154,3.786902036805991e-09,2.5447981687336257e-06,True
time_155,2.7911319045102476e-07,0.00018756406398308864,True
time_156,2.4162641036217797e-06,0.001623729477633836,True
time_157,4.5950104398845314e-06,0.003087847015602405,True
time_158,4.0248111279212046e-05,0.027046730779630494,True
time_159,2.4939297233018752e-05,0.016759207740588603,True
time_160,0.006167673590660318,1.0,False
time_161,0.006053132331594264,1.0,False
time_162,0.04247482799553021,1.0,False
time_163,0.06153847144177047,1.0,False
time_164,0.1802415424861049,1.0,False
time_165,0.8688139119780107,1.0,False
time_166,0.9109682207057798,1.0,False
time_167,0.9588743912184622,1.0,False
time_168,0.16284739338413134,1.0,False
time_169,0.5617701470677268,1.0,False
time_170,0.2916537987135678,1.0,False
time_171,0.6566084400369365,1.0,False
time_172,0.496920417365026,1.0,False
time_173,0.13097107007737707,1.0,False
time_174,0.38260540808738874,1.0,False
time_175,0.16393510120956978,1.0,False
time_176,0.053798401060763446,1.0,False
time_177,0.01855352991645538,1.0,False
time_178,0.015250507700492359,1.0,False
time_179,0.019119152311414013,1.0,False
time_180,0.0007094165765889648,0.4767279394677843,False
time_181,5.039097091151216e-05,0.033862732452536175,True
time_182,2.3495188141604924e-05,0.015788766431158507,True
time_183,7.237656057831222e-07,0.0004863704870862581,True
time_184,3.746096397695073e-09,2.517376779251089e-06,True
time_185,7.091074831404233e-09,4.765202286703644e-06,True
time_186,6.499743590126499e-12,4.367827692565007e-09,True
time_187,1.9395680166213257e-12,1.3033897071695308e-09,True
time_188,1.11876619456906e-11,7.518108827504083e-09,True
time_189,1.2758409842941524e-12,8.573651414456705e-10,True
time_190,1.4598406614811246e-17,9.810129245153157e-15,True
time_191,2.7008661703072e-17,1.8149820664464386e-14,True
time_192,3.565072392259836e-18,2.39572864759861e-15,True
time_193,4.937723463447555e-18,3.318150167436757e-15,True
time_194,6.262527419041312e-16,4.208418425595762e-13,True
time_195,1.566340671999261e-13,1.0525809315835034e-10,True
time_196,1.768267155580977e-17,1.1882755285504166e-14,True
time_197,1.6561182712923978e-19,1.1129114783084912e-16,True
time_198,3.005217495861285e-18,2.0195061572187836e-15,True
time_199,1.2707730763731692e-19,8.539595073227697e-17,True
time_200,2.981769022592635e-17,2.0037487831822507e-14,True
time_201,7.549009424769405e-17,5.07293433344504e-14,True
time_202,2.917646864197897e-16,1.960658692740987e-13,True
time_203,1.6762351512288458e-15,1.1264300216257844e-12,True
time_204,1.863170071989387e-16,1.252050288376868e-13,True
time_205,2.356005266839848e-16,1.583235539316378e-13,True
time_206,6.2866664547567176e-15,4.224639857596514e-12,True
time_207,2.2375917773807017e-14,1.5036616743998314e-11,True
time_208,3.324741223211053e-16,2.2342261019978274e-13,True
time_209,6.444806049552176e-19,4.330909665299062e-16,True
time_210,7.021132530527338e-18,4.718201060514371e-15,True
time_211,1.812763697101432e-20,1.2181772044521623e-17,True
time_212,5.693043939204839e-22,3.8257255271456517e-19,True
time_213,4.402495480588425e-25,2.9584769629554217e-22,True
time_214,1.8942324176401377e-21,1.2729241846541726e-18,True
time_215,5.5309509989681505e-21,3.716799071306597e-18,True
time_216,1.1973948642786447e-18,8.046493487952492e-16,True
time_217,6.3261992499281575e-19,4.251205895951722e-16,True
time_218,8.654068605548559e-19,5.815534102928632e-16,True
time_219,3.7014518745554476e-17,2.4873756597012607e-14,True
time_220,5.580392200420676e-19,3.750023558682694e-16,True
time_221,8.233575283928952e-17,5.5329625908002556e-14,True
time_222,1.427898409390906e-16,9.595477311106888e-14,True
time_223,4.8121684768559e-18,3.233777216447165e-15,True
time_224,1.0845224101308845e-19,7.287990596079544e-17,True
time_225,3.669269068714097e-18,2.4657488141758736e-15,True
time_226,3.344751201298584e-17,2.2476728072726486e-14,True
time_227,3.0421698319513096e-16,2.04433812707128e-13,True
time_228,2.4299737571824796e-15,1.6329423648266263e-12,True
time_229,1.3179839533314139e-15,8.856852166387101e-13,True
time_230,1.6624040988010775e-17,1.1171355543943241e-14,True
time_231,8.410350546040938e-18,5.65175556693951e-15,True
time_232,1.372648223516111e-15,9.224196062028267e-13,True
time_233,2.177787909094039e-14,1.463473474911194e-11,True
time_234,3.845897261788972e-20,2.5844429599221894e-17,True
time_235,4.596609238796309e-19,3.0889214084711196e-16,True
time_236,7.837246847003979e-22,5.266629881186674e-19,True
time_237,8.949411043995519e-20,6.014004221564989e-17,True
time_238,1.1193837096820154e-19,7.522258529063144e-17,True
time_239,5.1869921298388645e-21,3.4856587112517166e-18,True
time_240,4.42193900212075e-21,2.971543009425144e-18,True
time_241,3.3549674550847938e-19,2.2545381298169814e-16,True
time_242,4.891528386545194e-19,3.2871070757583704e-16,True
time_243,2.064184264840391e-19,1.3871318259727427e-16,True
time_244,5.650580334958119e-18,3.797189985091856e-15,True
time_245,1.0783002833362722e-19,7.24617790401975e-17,True
time_246,1.4141432130603703e-23,9.503042391765689e-21,True
time_247,5.652143385440694e-25,3.7982403550161467e-22,True
time_248,8.85875930195426e-28,5.953086250913263e-25,True
time_249,3.729886942067964e-27,2.506484025069672e-24,True
time_250,2.9395122373502752e-27,1.975352223499385e-24,True
time_251,3.86235104463808e-28,2.5954999019967897e-25,True
time_252,3.342658635957511e-29,2.2462666033634475e-26,True
time_253,6.365434116281282e-28,4.277571726141022e-25,True
time_254,1.3869334023619246e-33,9.320192463872133e-31,True
time_255,2.3000987589417087e-33,1.5456663660088282e-30,True
time_256,2.109540374180356e-40,1.4176111314491993e-37,True
time_257,2.9905922244980763e-46,2.0096779748627073e-43,True
time_258,6.255727465043269e-43,4.203848856509077e-40,True
time_259,1.2658611230492322e-45,8.50658674689084e-43,True
time_260,9.300692962305715e-46,6.25006567066944e-43,True
time_261,2.34423886384098e-50,1.5753285165011387e-47,True
time_262,6.106388820135321e-61,4.1034932871309356e-58,True
time_263,1.0970226300634822e-56,7.3719920740266e-54,True
time_264,2.9043101814919287e-51,1.951696441962576e-48,True
time_265,6.037806503966728e-52,4.057405970665641e-49,True
time_266,2.284375336510154e-59,1.5351002261348234e-56,True
time_267,1.4365008569843424e-60,9.65328575893478e-58,True
time_268,1.4456491625951246e-64,9.714762372639238e-62,True
time_269,8.770526377682505e-65,5.8937937258026435e-62,True
time_270,4.46050206018238e-66,2.997457384442559e-63,True
time_271,2.149237338635375e-81,1.444287491562972e-78,True
time_272,2.9999016019361486e-80,2.015933876501092e-77,True
time_273,4.375637138287891e-83,2.940428156929463e-80,True
time_274,7.928893898543562e-88,5.328216699821273e-85,True
time_275,5.962669284207973e-85,4.0069137589877583e-82,True
time_276,4.61319769447501e-91,3.1000688506872063e-88,True
time_277,7.930583334185013e-92,5.329352000572328e-89,True
time_278,2.925617570018971e-97,1.9660150070527486e-94,True
time_279,1.0908427150481574e-102,7.330463045123618e-100,True
time_280,6.683271954213318e-104,4.49115875323135e-101,True
time_281,1.084945272505602e-117,7.290832231237645e-115,True
time_282,2.9985705534799396e-104,2.0150394119385193e-101,True
time_283,1.9275996898630103e-109,1.295346991587943e-106,True
time_284,6.575120955790387e-106,4.4184812822911403e-103,True
time_285,1.4756785712814972e-115,9.916559999011661e-113,True
time_286,5.6229914083896536e-123,3.778650226437847e-120,True
time_287,1.2580061034233749e-116,8.45380101500508e-114,True
time_288,8.344609545953685e-123,5.607577614880876e-120,True
time_289,1.0949652965084248e-122,7.358166792536615e-120,True
time_290,2.306651633969963e-130,1.5500698980278151e-127,True
time_291,3.962927915224527e-131,2.663087559030882e-128,True
time_292,2.116126529457222e-136,1.4220370277952531e-133,True
time_293,1.2345257586568143e-139,8.296013098173791e-137,True
time_294,2.7166736714238987e-130,1.82560470719686e-127,True
time_295,2.623191835033414e-135,1.762784913142454e-132,True
time_296,3.6074126091122115e-130,2.4241812733234063e-127,True
time_297,1.5897650995652942e-142,1.0683221469078777e-139,True
time_298,1.9234329924242363e-132,1.2925469709090867e-129,True
time_299,7.197390426930333e-143,4.836646366897184e-140,True
time_300,1.2163658139718475e-149,8.173978269890815e-147,True
time_301,1.6275233235511234e-147,1.093695673426355e-144,True
time_302,3.120004194894149e-157,2.096642818968868e-154,True
time_303,1.623629495527565e-153,1.0910790209945237e-150,True
time_304,7.247435459829322e-150,4.8702766290053047e-147,True
time_305,1.8317421308349041e-159,1.2309307119210557e-156,True
time_306,9.016908088071286e-151,6.059362235183904e-148,True
time_307,4.854455064443958e-154,3.26219380330634e-151,True
time_308,2.355468473389844e-160,1.5828748141179754e-157,True
time_309,6.339417190392732e-168,4.2600883519439164e-165,True
time_310,2.2202361961689277e-170,1.4919987238255194e-167,True
time_311,1.2593513492299938e-163,8.462841066825557e-161,True
