id,n,mean,std,var,median,q25,q75,p05,p95,range,cv,mad,skew,kurt,ac1
D2014.01.14_S0910_I141_9,573,0.28976281685023253,0.1033757329811164,0.010686542169383076,0.2924858033657074,0.22002312541007996,0.3632364869117737,0.1216147392988205,0.4364002764225006,0.7631335882470012,0.3567598289691786,0.07171821594238281,0.38306562012746226,1.3215714681904611,0.10613423223041474
D2015.05.28_S1296_I141_4,667,0.21716032944608485,0.08964757121305413,0.008036687024399611,0.2215704321861267,0.16014862805604935,0.27053676545619965,0.07916688248515129,0.338801473379135,0.9809182062745094,0.412817439730912,0.0543542206287384,1.8751688009446714,14.852370020814604,0.17499619516800421
D2018.05.02_S02028_I0141_D_7,662,0.22623090215556302,0.08784798165997473,0.007717267881731257,0.22928911447525024,0.16329603642225266,0.2812216728925705,0.08163400813937188,0.3520346298813818,0.903868542984128,0.3883111494625428,0.05672084540128708,0.7763947170996962,5.881324022332921,0.08243483475220705
D2019.10.30_S02392_I0141_D_6,572,0.31722893365626254,0.14430562490184934,0.02082411337831324,0.30897383391857147,0.21009686961770058,0.42508652806282043,0.09011954143643379,0.5518781781196594,0.8982942905277014,0.454894272217343,0.1124977320432663,0.29458908144289997,-0.0332983980985162,0.5716969565234077
D2014.07.30_S1087_I141_2,662,0.34605652878336673,0.11177623881923648,0.01249392756457499,0.35766585171222687,0.26244962960481644,0.43164851516485214,0.1569294288754463,0.5074187219142912,0.7803818583488464,0.3229999422701515,0.08386030793190002,-0.12108856599373022,-0.015513267384936302,0.2654746379532529
D2013.11.12_S0877_I141_7,666,0.25035526036276473,0.09710769954297231,0.009429905310528185,0.2563439607620239,0.19277659431099892,0.309040829539299,0.09706778265535831,0.37779760360717773,0.9809773564338684,0.3878796051749153,0.05986854434013367,1.225649210442125,8.05048193713593,0.11515034449385576
D2019.06.07_S02302_I0141_D_10,647,0.28125367671650026,0.11958809496388897,0.014301312457092128,0.28520190715789795,0.18971720337867737,0.36970269680023193,0.09282028898596764,0.46205070018768296,0.847963236970827,0.4251965569304614,0.088971346616745,0.2168583150224608,0.37118139857300614,0.3072739270826713
D2019.06.05_S02297_I0141_D_10,771,0.22291701247380508,0.09839637560309175,0.00968184673182471,0.22269834578037262,0.1530008241534233,0.2838441878557205,0.06921613588929176,0.3794635087251663,0.9800845517311245,0.4414036170283517,0.0647641271352768,0.8100358482246915,4.229368472446442,0.21478467235309362
D2018.09.19_S02087_I0141_D_2,631,0.30514885856520546,0.13457287559818604,0.018109858846764856,0.30878233909606934,0.19847764819860458,0.40847593545913696,0.08719448000192642,0.5164298117160797,0.6652941778302193,0.4410073045363529,0.10409033298492432,0.09695483826026952,-0.6184072927276585,0.4603316485604308
D2016.09.16_S1603_I141_5,645,0.2634769168242004,0.08970603087492544,0.008047171975333077,0.27288079261779785,0.2080715149641037,0.32594573497772217,0.10406608134508133,0.3771605968475341,0.9214449524879456,0.34047017080733477,0.05645541846752167,0.3568949329152704,4.899213510996008,0.04383676925500488
D2014.09.05_S1090_I141_1,685,0.2888453587196278,0.10085599015255409,0.010171930749652086,0.2931232154369354,0.22958293557167053,0.3641735315322876,0.10492826849222184,0.4400442242622375,0.625236127525568,0.34916950232339206,0.06799235939979553,-0.24448360445575695,-0.043156399754285424,0.12640030860068416
D2020.05.22_S02527_I0141_D_8,530,0.2766583914517091,0.10998742234495666,0.012097233074087872,0.2911701947450638,0.19325993210077286,0.36129919439554214,0.09010214917361738,0.424272358417511,0.8424373408779502,0.39755679113082326,0.08049064874649048,0.05850761108858489,0.6406885242282905,0.24381623598972832
D2014.10.27_S1147_I141_2,546,0.2598947722246468,0.11775468379203478,0.013866165554962099,0.2573778033256531,0.1753009706735611,0.33382827043533325,0.06961318850517273,0.44237854331731796,0.9285285659134388,0.4530860039395116,0.07876209914684296,0.8256826263159316,2.8612593255967695,0.18136768169894196
D2016.06.22_S1549_I141_7,645,0.279010558516769,0.09759055348674064,0.009523916129848386,0.284700870513916,0.21136760711669922,0.3442481756210327,0.12240725457668304,0.43410406112670885,0.728134204633534,0.349773693173247,0.06450146436691284,0.26846276428515553,0.9135570815514011,0.1898662973509714
D2018.06.22_S02049_I0141_D_4,647,0.23018239866265627,0.10066601119641157,0.01013364581019606,0.22929449379444122,0.16234295070171356,0.2907062768936157,0.08607897013425828,0.39619620740413625,0.8932383959181607,0.4373314892071422,0.06530050933361053,0.9257683253397978,3.407977376529187,0.3322821914337006
D2016.04.26_S1501_I141_2,562,0.25466010148729795,0.10506759020738023,0.011039198511985981,0.25910358130931854,0.17494820430874825,0.3269088640809059,0.08358249589800834,0.4028157606720924,0.9764950782991946,0.41257970759357776,0.07618387043476105,0.7297995580887343,4.505363513562942,0.21283718337258756
D2020.06.15_S02544_I0141_D_6,648,0.31917882335758885,0.11191618659000434,0.012525232820848668,0.32164590060710907,0.24604447185993195,0.39447121322155,0.14220310747623444,0.48646070957183835,0.8717195063363761,0.3506378819644314,0.07421103864908218,0.12727580106056474,0.8622980665627553,0.180337296189303
D2016.02.27_S1455_I141_7,672,0.26108221709173884,0.10023029859398794,0.01004611275623998,0.2605047672986984,0.1959608942270279,0.31607456505298615,0.10027461908757687,0.4390234112739562,0.9573214035481215,0.3839031999593029,0.061482638120651245,0.7212675901665723,3.7662105960731695,0.2828152077823507
D2020.02.01_S02459_I0141_D_3,561,0.32575603820874943,0.11489572108373358,0.013201026723351102,0.3311876058578491,0.2433088719844818,0.4150658845901489,0.1263805478811264,0.49344402551651,0.6960334628820419,0.35270480852946356,0.08557295799255371,-0.23026319942000495,-0.3881280370873448,0.284646048975403
D2020.02.01_S02459_I0141_D_2,561,0.3075605095787482,0.12293569541760496,0.015113185207810138,0.31341028213500977,0.2084825485944748,0.40091291069984436,0.10832278430461884,0.4945330321788788,0.660956010222435,0.39971222438792436,0.09449872374534607,-0.04174910295893449,-0.6882278026334969,0.35473770950704037
D2020.07.16_S02575_I0141_D_4,557,0.3011709273336338,0.1069998715318884,0.011448972507840622,0.3090343177318573,0.2435220330953598,0.3790322542190552,0.10284395217895508,0.44628523588180524,0.9498429037630558,0.35527954998576317,0.06869223713874817,-0.010130611824711843,2.2042554991503955,0.09760531652427583
D2015.01.15_S1202_I141_1,564,0.27570571323050885,0.10123886800925831,0.010249308395796027,0.28754524886608124,0.20753437280654907,0.34866589307785034,0.09111372753977776,0.40412882566452035,0.9814229309558868,0.3671990210975994,0.0687888115644455,0.2933611933098355,4.018768430004528,0.12597226193094102
D2017.12.04_S01907_I0141_D_4,536,0.2847503385569122,0.10444381513596512,0.010908510520155658,0.2949562072753906,0.20502040162682533,0.3595924526453018,0.1174424160271883,0.43116746842861176,0.9767085835337639,0.3667908374236762,0.07488100230693817,0.4016926486730879,3.227319407993397,0.1855481156300473
D2014.09.25_S1121_I141_8,379,0.27047782742214393,0.10098166489673012,0.010197296645315495,0.27213340997695923,0.20783696323633194,0.3228767216205597,0.10801433399319649,0.41341727077960966,0.7085966281592846,0.3733454452039967,0.0550583153963089,0.9545725848637167,3.6451210835504257,0.2608894777902514
D2018.03.31_S01994_I0141_D_4,654,0.2119490750125447,0.08273951468504215,0.006845827290316305,0.21730398386716843,0.15916325151920319,0.2651207223534584,0.07750593684613705,0.3288313075900078,0.99582948256284,0.3903745023664058,0.05308626592159271,1.3091329353852668,12.516834410772393,0.07200240025312382
D2017.09.01_S1842_I141_8,670,0.24914118391253165,0.0925802758601383,0.008571107478339305,0.25360147655010223,0.1889765001833439,0.30502329766750336,0.10288015529513359,0.3684306785464285,0.9310999810695648,0.37159763956424535,0.059163644909858704,1.2339350650294798,8.14555046529226,0.20423225381972762
D2016.07.15_S1567_I141_1,567,0.32300694034692734,0.11680536434694162,0.013643493140221782,0.3315923511981964,0.24648994207382202,0.4099704176187515,0.11209882572293281,0.507023948431015,0.6126536531373858,0.361618744852622,0.08143973350524902,-0.2085660377087205,-0.268927332191907,0.17257258972559847
D2020.01.24_S02450_I0141_D_6,660,0.34653312899172306,0.15307008083917256,0.023430449648110824,0.3386344015598297,0.23281406238675117,0.4629991352558136,0.09820332080125808,0.5945810794830321,0.8041344843804836,0.4417184621988296,0.11724559962749481,0.11511270167330263,-0.5264610758505794,0.5274143846839121
D2020.08.24_S02603_I0141_D_7,661,0.340185457676418,0.12158641542036383,0.014783256414773287,0.35468462109565735,0.2504705488681793,0.4344829320907593,0.1235227882862091,0.5170907974243164,0.6542659760452807,0.3574121488050673,0.08654305338859558,-0.3337781542468053,-0.48238374393301253,0.37766378835721026
D2019.03.13_S02233_I0141_D_2,645,0.23005190472905487,0.09386248631949332,0.00881016633807707,0.22912776470184326,0.1639327108860016,0.29478389024734497,0.07901798784732819,0.3688038170337675,0.9079395160079002,0.4080056908463352,0.06533625721931458,0.8294627059333969,4.938206388599386,0.0709749031990169
D2013.07.16_S0812_I141_7,569,0.23422799806310246,0.09830473724415761,0.00966382136464287,0.23696129024028778,0.17218729853630066,0.294631689786911,0.08957354426383972,0.3563382685184479,0.9791736027691513,0.41969678286570045,0.06048572063446045,1.8563141234810026,14.055426041511332,0.050960637595849435
D2019.03.15_S02234_I0141_D_5,644,0.23847019475861597,0.09897092905818662,0.009795244798640608,0.24115775525569916,0.16732409968972206,0.3044248893857002,0.08020764142274857,0.396156343817711,0.7772543663159013,0.4150243142895357,0.06770944595336914,0.4439593301787442,1.5830704311350035,0.2818621560034819
D2016.06.01_S1534_I141_5,562,0.27609497678940087,0.10231741796598809,0.010468854019226701,0.28310371935367584,0.21136999130249023,0.34595784544944763,0.09271132461726665,0.4161294698715207,0.9757707901299,0.37058775627067475,0.06580556929111481,0.4430523936214537,4.121384310743824,0.23067557638401337
D2017.02.18_S1699_I141_1,655,0.233333614452934,0.10202509346062008,0.010409119695648263,0.22862839698791504,0.16331969946622849,0.30282460153102875,0.07172744795680047,0.38412789106369016,0.7723824726417661,0.4372498737476151,0.0707341730594635,0.5075340548574755,1.295883982729129,0.2565731677534822
D2017.02.15_S1697_I141_10,647,0.2679639742069142,0.0999837321490672,0.009996746694456413,0.2684084177017212,0.2047191709280014,0.34106549620628357,0.10062874704599381,0.4072997093200681,0.9804326603189111,0.37312378443776395,0.06763049960136414,0.4377705475429665,3.620036864225181,0.07545713708183714
D2020.07.29_S02584_I0141_D_2,666,0.3094454821826353,0.1084030418622599,0.01175121948499087,0.32463569939136505,0.23710227012634277,0.3863239586353302,0.11335431598126888,0.46632568538188934,0.8425951411481947,0.3503138617427939,0.07317423820495605,-0.196376317687716,0.6315283890375558,0.08321166509945288
D2020.03.13_S02491_I0141_D_2,567,0.3254527656699825,0.1153966443116951,0.013316385518399875,0.3344119191169739,0.25421927869319916,0.41240718960762024,0.11053877919912339,0.49609316587448116,0.6900630332529545,0.3545726338325552,0.07868644595146179,-0.3800112328017031,-0.12198476416101123,0.19741790616828425
D2018.11.24_S02142_I0141_D_7,669,0.26805627190679177,0.10016744500733289,0.01003351703929706,0.269875705242157,0.20356963574886322,0.33520394563674927,0.09778157621622086,0.42439801692962653,0.6663137227296829,0.37368066150738305,0.0655164122581482,0.03531752228033622,0.03972039331993438,0.2200236856307456
D2015.04.04_S1254_I141_1,664,0.2535166238330821,0.09194682479441897,0.008454218589775579,0.2585522532463074,0.1975557766854763,0.31250616163015366,0.10915684066712857,0.38357535004615784,0.8979831030592322,0.36268558410180507,0.056175969541072845,0.9022766130220783,7.103333358707147,0.13075072269470933
D2020.08.24_S02603_I0141_D_2,661,0.29158112888982446,0.10095811748321314,0.010192541485754266,0.3026300072669983,0.22485747933387756,0.3682565689086914,0.11453603208065033,0.42605316638946533,0.996512568788603,0.3462436607869802,0.07167595624923706,0.10502629357511897,2.899730631286035,0.1911279147812185
D2019.11.09_S02399_I0141_D_1,663,0.3094705091691035,0.10749130749249303,0.011554381186445688,0.32009652256965637,0.2390015870332718,0.38806818425655365,0.11089839413762094,0.4695084571838378,0.5827212929725647,0.34733942106825016,0.0743120014667511,-0.29878397762921727,-0.3139127406006543,0.11665432738447276
D2019.02.17_S02212_I0141_D_5,560,0.2605805357718574,0.09699282395629188,0.00940760789901623,0.2612624317407608,0.18789680302143097,0.32629261910915375,0.10809972621500492,0.40847802609205247,0.6774905920028687,0.3722182229343895,0.06908144056797028,0.38501828193858995,1.0529625843682053,0.23377737759038292
D2014.07.07_S1057_I141_1,471,0.2983809927846216,0.112647252787078,0.012689403560475853,0.30381667613983154,0.22148751467466354,0.38089968264102936,0.10109386593103409,0.45962661504745483,0.8105424605309963,0.3775282458034766,0.08064603805541992,0.1512787940107193,1.0794792132276916,0.061628881927964604
D2017.02.03_S1690_I141_2,769,0.2126871688444027,0.09066591162891037,0.008220307531501384,0.21670611202716827,0.1478804349899292,0.2766914665699005,0.06825841218233109,0.3427200675010681,0.997283399105072,0.4262876417111912,0.0642981231212616,0.8870273098855738,7.1597793304330715,0.08097482025152093
D2019.02.02_S02198_I0141_D_2,664,0.24464612865267554,0.10243153133358432,0.010492218611343066,0.2414821833372116,0.16757483407855034,0.32187315076589584,0.0865603182464838,0.40260180681943897,0.9991060477332212,0.4186926312617295,0.07679539918899536,0.5684838368446209,3.3024793773331975,0.28281177373301136
D2020.07.10_S02570_I0141_D_1,673,0.2780951571278551,0.12651253811691063,0.016005422300782765,0.2728233337402344,0.1810150146484375,0.3669716715812683,0.08852799534797669,0.47877753973007203,0.9892624840140343,0.45492535513211435,0.09299823641777039,0.5361068514396929,1.1739689723469384,0.5139473619592813
